trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
202,False,"{'a': 0.01, 'e': 0.13398867466880493}",25,10,-1.660418017941422,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
203,False,"{'a': 0.01, 'e': 0.13265546508012172}",20,13,-30.003356306924545,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.01, 'e': 0.13133552114849303}",20,4,26.234841714308843,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.01, 'e': 0.1300287108784259}",20,0,14.1852991024327,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.01, 'e': 0.12873490358780423}",20,8,22.498968541189363,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.01, 'e': 0.12745396989482075}",35,23,23.878726457837608,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.01, 'e': 0.12618578170503877}",25,15,20.744528467365352,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.01, 'e': 0.12493021219858241}",35,20,29.394043048983747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.01, 'e': 0.12368713581745483}",35,2,25.622606120044633,"{0: 32, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.01, 'e': 0.1224564282529819}",30,10,34.57650951832094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.01, 'e': 0.12123796643338168}",20,10,7.136915374493258,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.01, 'e': 0.12003162851145673}",20,14,13.728439896367693,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.01, 'e': 0.11883729385240965}",25,8,15.350833212575079,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.01, 'e': 0.11765484302177918}",20,12,15.82406451273855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.01, 'e': 0.11648415777349697}",25,18,1.685018685379015,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.01, 'e': 0.11532512103806251}",25,15,17.880823869854638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.01, 'e': 0.1141776169108365}",20,15,7.984366992529743,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
